Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bolivia,2374.67791497559,2530.23833921954,2575.60427640047,2692.07636829814,2818.55836040366,2950.81342677844,3072.63572696419,3215.09100877978,3347.60993684381,3344.22853338675,3437.61886678804,3504.74004434982,3580.81760004146,3677.63872541367,3863.45413855963,4086.37388148136,4335.38308808235,4575.66374196378,4868.44412766514,4986.46243815293,5167.11377349367,5460.25548989959,5923.11662771703,6625.62546996206,7056.64106611008,7133.76283474336,7499.43762024147,8423.69682656065,8866.37453732968
Brazil,6701.20904431983,6909.92174583214,6915.3127018945,7287.07540308775,7712.67167399525,8090.89000017257,8288.17894975527,8582.0677464321,8575.87351669118,8611.90022971288,9060.78639942992,9260.76595917983,9568.06384730739,9733.77081647566,10445.3445102854,10988.9586831226,11642.44394693,12549.9279757162,13312.7634157633,13269.1185715791,14299.5516973717,15040.0581828206,15050.0094697468,15590.6084836934,15718.049987827,14743.7417433484,14255.3458601059,14519.8491302518,14951.8035094155
Barbados,9591.81088192285,9494.2033729657,9123.61776944366,9378.60521341597,9733.8949722151,10097.6661934838,10647.6422910526,11296.5226931636,11799.0438655245,11959.9432088983,12721.0294211425,12646.6645665648,12904.0572214429,13385.381608554,13891.4201068764,14834.7242538602,16082.8223123418,16747.9625165079,17152.8092594876,16375.9811263583,16148.2409638444,16305.0806337476,15314.2998502195,15337.6171407555,15174.3251087076,15545.2319591293,15986.0795752861,15825.2952924241,16107.0332430775
Brunei Darussalam,55913.6509345373,57945.700008129,60345.087648023,60249.5903903654,61767.2340779139,64188.1187531171,65587.4117428691,64190.986221505,63097.4617842894,64533.3059366804,66439.336137831,68350.5334101238,70716.7593718754,72755.7329960629,73808.5267240512,75213.7551073169,79772.6751026909,81013.4221694966,80036.11316109,78297.7071841171,80277.5456893459,83935.012512764,88250.8680493117,83788.3089644454,81362.388822404,62539.7107417451,56299.4139769202,60995.6811141379,61859.9469391462
Bhutan,1507.33363833445,1540.83993585859,1648.81995829937,1727.61837560994,1854.31300082259,2016.79682289,2140.61105599394,2251.93569196824,2357.82198301244,2522.47415733389,2696.34646018652,2923.13099667947,3229.54552462121,3480.0897202402,3723.42675585778,4056.18380756623,4412.46979058017,5302.71029201135,5608.47775711341,5972.92340032233,6693.506146935,7295.84280419153,7912.14832427473,7989.76131141864,8665.30456236414,9500.54005485374,10457.9845933478,11142.3999508069,11621.8143494682
Botswana,5682.07443900768,6124.06328472255,6270.32137823888,6375.62490329308,6583.55651111372,7022.20989724329,7388.84535178845,7953.38427878478,7897.10892465993,8597.67838895065,8784.19231315532,8830.92475711261,9347.82791600263,9790.96732798423,10144.544994843,10733.2238915879,11742.5246196849,12780.6370735427,13552.6176740727,12366.5400720519,13352.3002160668,14252.7129299669,13619.4552204981,14728.9954638358,16299.1355602643,15545.7870674617,17260.2150229728,17253.2316097939,18059.3376640674
Central African Republic,635.43883090643,637.008166151196,593.038908737738,591.745474336254,616.02444645221,655.88976507517,624.596673202196,652.435072488283,674.280672129772,692.204671042619,674.439740067559,704.222164508544,725.615024667026,684.95662623964,730.748453939406,745.572863095432,789.210791951323,831.607791499467,849.941447965263,916.187283120823,958.920448355564,1012.65808884034,1104.22767428234,739.491182305727,720.63163600681,787.044510879092,851.313030109705,912.80205230035,955.839638441268
Canada,20150.787992707,20145.9254666282,20550.63353963,21363.6334802633,22555.342375438,23403.4815153098,23963.9676031324,25167.3101503635,26220.4431575046,27745.8065524148,29265.7281278482,30107.8788411777,30853.201316329,32219.4287486237,33795.6837049447,36211.0845984165,37995.0048039266,39451.3195275281,40275.9898957504,38794.9307164986,40019.2054024998,41569.449617197,42189.1961096712,44188.7317079989,45645.5642968788,44567.8663498079,46441.2484674409,48552.5351569185,49994.087933693
Switzerland,27586.7607330146,27907.5062451772,28218.1749206836,28588.8060200597,29335.2536359892,29893.9902785307,30526.4140824882,31805.11620048,32918.4665131751,33814.1145410683,35762.9853009079,36778.3642012,37718.2848266456,37713.9304998355,39170.217303655,40572.2644828349,45098.8086744459,49742.7566717908,52584.7268100102,51808.2276752053,53107.4235657022,56183.8216241817,57849.572038326,60108.520020158,61902.1295360364,63938.9893868853,65720.1147471998,67139.0926995233,69366.437923048
Chile,4511.16997825586,4952.53848210155,5622.77735855376,6119.38019460833,6568.78082455401,7351.82886112748,8011.57109591562,8637.33061678494,8995.76512018912,8977.11749765428,9553.56652260893,9972.65109521817,10333.0636606751,10841.3238171049,11812.6349740889,12746.5833879323,15753.962990375,16941.8359830089,16501.8069214628,16159.6052340491,18161.8039224929,20342.5709204911,21507.7074027908,22439.2783559667,22786.6556024043,22688.0100281228,22700.9242464201,23723.8050688266,24763.0021879198
China,982.336058221609,1094.90124581231,1263.47358407328,1455.9389281999,1662.22405087924,1862.5479326307,2063.2192239744,2269.1890519009,2450.94996042806,2653.89781451508,2920.51545752106,3210.08333508722,3534.8338698959,3937.20902072252,4425.66107084109,5053.75615511682,5836.27797088826,6810.29054769901,7574.12535615077,8307.8234091609,9253.75863810883,10299.871105089,11197.6848715341,11923.9623137765,12503.6718133572,12924.4284335115,13458.3027154009,14149.923971025,15376.2062117137
Cote d'Ivoire,2053.96694687022,2049.11307195244,2017.2532822921,1989.7560444125,1979.55323558557,2094.27926315545,2224.55894627498,2275.40131628433,2343.41620275203,2348.93035410168,2291.44115259837,2289.12595626966,2236.32908593038,2199.90095821538,2239.75497025907,2300.12223193627,2354.29134382642,2406.77894325581,2460.24709306482,2501.72852201444,2522.36492982474,2404.04227964872,2629.03614042461,2830.60195833422,3128.09933217752,3366.11323137193,3481.37326164882,3572.19076055364,3832.13044575611
Cameroon,1855.40906901471,1790.70636379663,1723.39806986668,1578.25503476058,1600.54487505069,1644.92959434477,1701.69958077062,1774.15198143617,1826.59518249322,1882.7770949707,1941.69712856431,2017.01136486753,2079.76020924045,2156.69139629162,2302.1161434903,2357.04811683607,2444.75394280463,2562.26353871296,2629.88696476193,2634.67741734461,2681.88681703305,2773.89666656205,2861.8704075646,3007.40199341392,3186.94425593884,3260.81559918164,3405.97599853398,3554.52515589469,3691.32955271229
"Congo, Dem. Rep.",882.773089055432,805.603709715923,709.285661037286,604.305991294026,571.96235303363,569.327298796184,557.970362602267,522.631954634548,508.07357647215,481.907251479236,447.08219838536,435.076334088261,441.820308540367,460.770152574972,489.419993621292,518.840239245301,545.151474173229,575.749115571405,603.287907487453,604.844154087574,633.913123659282,668.9408609868,670.798142116362,754.432509984498,849.817947135048,905.444208902724,963.940603435783,1059.8107753086,1111.6813262852
"Congo, Rep.",3231.38503748229,3328.09118113106,3397.95077945951,3350.29925202639,3144.8435491099,3246.02430237946,3350.4218106988,3290.66700190003,3353.40797381443,3219.32624301124,3439.90638783673,3546.38418595186,3662.31892033571,3654.11070609586,3768.4144916158,4057.36814467037,4295.73026501733,4194.63371614862,4362.1647532162,4571.1251098185,4878.07471072942,5008.38880253453,4906.54733996449,4767.04175135539,4700.44109408206,3338.9244869803,3399.50423359085,3329.33898418887,3357.60399876913
Colombia,4988.35673292039,5158.09287160669,5383.11833291834,5696.76358799688,6041.77137327479,6371.33403305625,6504.41318041068,6726.09428308626,6726.34736487587,6430.14528591125,6658.51968511298,6811.15342578661,6984.66871637341,7284.69463639031,7768.88472571733,8275.46276674436,8987.32760086178,9739.81477044228,10132.7869321403,10218.7909507337,10674.5658821352,11587.0427445897,14359.724742381,14999.4588752292,14100.7185062133,13896.220383719,13952.1361506747,14312.1775058823,14834.4492878281
Comoros,1587.42792213106,1507.59049157931,1625.26965522337,1664.86521511521,1565.38339382032,1610.21591463614,1574.68688735286,1622.15726799115,1618.15264150597,1630.51244978322,1801.76745629252,1838.3786057199,1865.2704399001,1894.20645271695,1936.01328139953,2004.63431304993,2069.88635221513,2091.7550230043,2165.06883681323,2197.80539910516,2252.89077246055,2337.0573875903,2515.32497201911,2639.53758647088,2717.52283599607,2708.8581270021,2863.75436817458,3032.25468181699,3141.54450193196
Cabo Verde,1063.56330715761,1088.30523850185,1201.78560167991,1299.77709603996,1538.66604669254,1748.30805581176,1935.97061992935,2141.08036147853,2387.44837609498,2642.8652201205,3032.12636808529,3113.1038166295,3273.97965456941,3420.16262500717,3813.70590130638,4146.08486082688,4552.23912337861,5316.93332428071,5711.323427621,5613.70041827373,5692.43355683959,5966.87192203053,5832.55175530838,5802.00464282269,5748.78177117565,5994.37464537852,6325.90882379475,6643.204610776,7068.10788005251
Costa Rica,5057.5378658823,5209.01558197032,5668.22757303287,6055.72455016701,6300.89020147949,6534.35373271732,6575.33798152519,6896.54872440706,7293.12222493919,7528.77396065477,7836.9272845232,8141.0517634039,8402.79841092528,8787.7903705847,9279.5598258155,9799.04395977362,10677.0130477256,11699.9039538978,12318.463420711,12135.2497943153,12725.1523269105,13387.5721512729,15341.6586911079,16014.8759842668,16149.6048825202,17065.7798247942,18008.5999135742,19011.9775375733,19762.4501323772
Caribbean small states,6019.28259070878,6302.76806875122,6586.14945718076,6894.5865512508,7170.41014536795,7464.90866355295,7798.74660093193,8125.85093502984,8394.77244091642,8805.45572109292,9279.26502708158,9626.92603048977,10093.3321405014,10880.2652446055,11577.9651851719,12300.5223725991,13510.1386602423,14258.7539006935,14667.276175859,14164.1869746396,14439.2150540292,14796.3084952856,14750.9089910258,14986.1739787731,15095.1897766555,14804.3873470988,14758.2328391619,15150.4467180866,15635.7154433337
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,22701.9604439561,23897.7519755045,24342.3445430514,24358.3499396872,24637.5808581046,24932.8903392554,25445.7018021027,26251.0517718724,27005.2925161018,26890.9197525995,26884.27091715,27224.4009690808,26182.5150795131,25924.977069883,25378.550250796,25090.4119553044,24807.8691996253,25475.4896636129,25590.697557867
Cayman Islands,,,,,,,,,64486.6916867985,64142.7136286743,63284.2230707753,62643.6316494953,62695.6481643517,63347.8206110709,63898.5140673953,68235.8150121538,71391.1749872154,73399.6882444168,72404.9982142751,65885.138814191,63298.1776470371,64013.6359395411,62817.7287199517,62449.775293798,63065.0260780563,64230.4506932562,66488.6794147087,69420.5114565353,
Cyprus,13327.6909555177,13525.6026548161,14736.8889269271,14829.1879288985,15711.1207201784,17069.6445702125,17297.5102688107,17778.8211148195,18758.5010424557,19662.68241964,21291.4321072235,22871.5260311154,23556.2614106595,24252.823560615,25921.2078130247,27763.2100933612,29984.3650676861,32849.7769235572,34830.3698994386,33891.6745300468,33421.0426186656,33313.5372341647,31834.4995572679,30375.2171825294,30042.8128905172,31722.3665130378,34379.4643669454,36875.1273894248,38513.2845672751
Czech Republic,12656.2410831208,11592.311270367,11784.3770453368,12058.5091137751,12669.7373582508,13748.591337746,14575.9700338471,14727.1912838595,14906.3587861548,15324.1064301742,16194.6281093041,17554.6593446962,18189.2343541554,19426.3862739107,20799.2512690536,21956.3838583853,23772.4721260917,26122.9882830928,27844.7953264656,27620.1988622677,27688.1426609856,28797.4179611691,29047.2464395949,30485.7141541113,32263.3157548997,33691.4242392608,35876.7274376121,38489.4963100125,40428.6729915945
Germany,19427.5093835616,20957.2011074689,21682.5884088905,21834.9222452037,22756.9083457755,23521.4447349485,24035.4403666482,24564.4067135348,25344.59352436,26291.2110793898,27209.2272386931,28380.6588970178,29178.6374658122,29875.4942551057,31305.4309058718,31794.0960095207,34119.1237727327,36249.7736073778,37802.3874303197,36851.2820856299,38978.7436979335,42541.5310884096,43359.6148271723,44993.8927459315,47011.5510935131,47683.7885959958,50564.251307837,53011.7681603117,54456.9292560641
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,4109.38113711543,4295.35741378309,4605.98387079121,4722.73588860872,4912.57572877859,5224.97785008253
Dominica,4299.06234787863,4507.16958325638,4692.12922503869,4887.26935131994,4978.42763447874,5232.78369669813,5506.59350269497,5751.28230385185,6071.10324265652,6211.58415384564,6516.27387191295,6653.97046579124,6551.45797323066,7070.46777431255,7452.34572911898,7712.22773877694,8300.6134437348,9055.29984113807,9884.31637777331,9839.83125185815,10017.6206112732,10198.5361398223,9947.97224646954,10147.8212704523,10909.9477125778,11140.027596917,11949.2883134506,11304.3597107511,11814.3488387134
Denmark,18210.3066992489,19039.0291779534,19788.4543377832,20192.0772412226,21649.7463740186,22654.5839761211,23698.8800971609,24920.0041290648,25813.5703699116,26653.8239044055,28668.8634233263,29449.9074364984,30640.3456230968,30786.7254719662,32908.8323640894,34150.1594558945,37289.361835061,38965.672977211,41278.3268270571,40370.2255403572,43031.8073273889,44403.3848413929,44803.9682421214,46726.8541437832,47901.4473627066,49058.5010658416,51970.749800205,55064.9088637057,57218.406447274
Dominican Republic,3668.37974300255,3756.14850812158,4193.27352224868,4524.40190268036,4656.49232793964,4937.32982863808,5238.82842348031,5708.18806775742,6062.52209026215,6414.74319356712,6760.12568672298,6973.5411829526,7295.05653158778,7226.7212814221,7506.73376076989,8356.01299417192,9274.89251960691,10098.6935538643,10491.6195827508,10539.3978169611,11410.3487519888,11869.1339800985,11903.4182243493,12483.6294396721,13474.4966583285,14740.342498503,16108.787425993,16735.3325859465,18143.2153942591
Algeria,6916.57663345076,6892.98006160746,7010.25074715824,6871.27732360258,6812.29943755231,7082.86680767989,7377.78495846489,7465.98581604253,7816.86113863423,8068.38960187095,8446.68582738257,8775.21868156258,9293.94446201211,10019.4738948969,10591.1569151947,11405.7724915118,11776.1777644946,12311.1816367158,12643.2956190467,12722.5255641843,13095.5985286254,13500.1980459452,13312.3999193705,13059.6037348633,13001.7449086608,12017.7036850598,11630.5589799622,11550.6176378141,11759.1965868806
Ecuador,4829.93312341393,5087.43916492243,5192.58150894884,5299.17655402194,5518.68373111522,5636.98974392197,5715.87937718795,5940.06864019456,6077.54063656085,5758.07312883621,5838.90252490818,6094.34852638384,6332.18587417878,6513.29940402779,7117.17171489572,7598.94624430365,8037.8832787714,8294.64140531826,8845.55449952561,8818.67235989834,9090.30823360249,9857.52181613622,10313.9506855529,11155.0057369445,11712.7316730583,11059.9352452555,11033.5370058146,11617.9087583298,11853.6579443732
"Egypt, Arab Rep.",3713.4890443077,3795.05779945092,3969.29199801668,4096.44709789542,4263.63509506357,4464.6393030017,4678.06441236589,4920.25436512954,5149.258253543,5431.8858304282,5794.12525656858,6015.09582142304,6139.67907496701,6334.57171370851,6648.42901843682,7033.91957317359,7606.75642685334,8219.48253562349,8820.71672721896,9131.49808521223,9522.51019869142,9686.0463784655,10914.5893967907,10987.7032297559,10949.2304819709,11354.0766753468,11000.1385748545,11014.4861365513,11643.2146678871
Euro area,16988.2263978345,17946.8524452947,18523.4504775713,18757.6369211386,19571.8996795626,20413.3696166126,21041.1210051352,21908.8170452119,22960.5002353248,23840.950391468,25325.0979977769,26506.2197957617,27535.0325456901,27953.4040137628,29051.5411106983,30076.7088432251,32494.8478226373,34382.7072654518,35709.6300296953,34821.29052039,35795.6163296499,37435.6701859097,37801.9228473925,38981.9554561176,39949.9291147625,41058.7863952604,43533.1871289342,45742.2569027392,47251.7685888978
Eritrea,,,1027.89517530474,1203.9429059822,1504.17111915057,1589.78934469496,1775.03754698897,1949.58957009739,1996.24642148717,1997.30393484931,1930.3342144722,2071.03334087858,2074.14355499731,1961.7448406595,1954.51003552998,1989.12800465697,1965.79519258958,1993.88359757552,1794.14842361948,1843.51286498715,1875.54870499252,2052.73308492867,,,,,,,
Spain,13660.5336204353,14445.254720673,14838.8856832283,14956.0145561586,15565.1355737942,16257.7997604681,16949.408135099,17906.7160560778,19096.2455390163,19954.2902150512,21592.3351499393,22959.0073150259,24371.5988492666,25018.7610937095,26119.9300333344,27606.9340516269,30683.1604652385,32435.7842319804,33263.2723985249,32123.2507999007,31703.8657582328,31867.9732396862,31720.1199986535,32434.0032017704,33525.7406299089,34912.4761266679,37282.4425131921,39575.5351485129,40483.6392132445
Estonia,,,,5794.27823962398,5946.61846659303,6460.46013576893,6870.95527733516,7966.30645486429,8438.26469925153,8419.57135494532,9437.24278918913,10326.2852655066,11670.3652656957,13123.0280540251,14521.3565698867,16624.9120413037,19310.004739652,22168.6450044105,22830.0903163589,20613.562675507,21812.9227917122,24780.9787761938,26190.5529510261,27642.5853670431,29135.7043979166,29397.1298449963,31231.4711464203,33820.9187318032,36358.0277629012
Ethiopia,415.023581702381,384.603881737648,346.583606479656,387.325411197723,394.267687537469,413.219927611792,458.326230905436,466.471079820911,442.219479478832,458.305558068366,482.884422160208,519.271662277728,520.339279414323,503.972448875483,571.403684639205,640.658135158775,711.587030584027,792.353563264622,870.715277420257,928.625672343523,1028.32373571093,1134.78452182361,1216.36473369802,1285.50921310374,1514.00645948757,1657.64393170033,1880.1474078678,2021.30515023669,2154.36018616765
