ALGERIA,ARGENTINA,AUSTRALIA,AUSTRIA,BELGIUM,BULGARIA,CANADA,CHILE,DENMARK,FINLAND,FRANCE (INCLUDING MONACO),GREECE,HUNGARY,INDIA,INDONESIA,ITALY (INCLUDING SAN MARINO),MEXICO,NETHERLANDS,NEW ZEALAND,NORWAY,PERU,POLAND,PORTUGAL,ROMANIA,SOUTH AFRICA,SPAIN,SWEDEN,SWITZERLAND,TAIWAN,TURKEY,UNITED KINGDOM,UNITED STATES OF AMERICA,BRAZIL,CHINA (MAINLAND),ISLAMIC REPUBLIC OF IRAN,VENEZUELA,PHILIPPINES,TRINIDAD AND TOBAGO,IRELAND,EGYPT,NIGERIA,TUNISIA,ECUADOR,DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),COLOMBIA,IRAQ,MOZAMBIQUE,BARBADOS,MOROCCO,MYANMAR (FORMERLY BURMA),PLURINATIONAL STATE OF BOLIVIA,BRUNEI (DARUSSALAM),ISRAEL,LEBANON,SYRIAN ARAB REPUBLIC,THAILAND,URUGUAY,ALBANIA,BAHRAIN,MADAGASCAR,SAUDI ARABIA,ICELAND,HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,CUBA,ETHIOPIA,GUATEMALA,NICARAGUA,DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,LUXEMBOURG,REPUBLIC OF KOREA,KUWAIT,DOMINICAN REPUBLIC,PANAMA,AFGHANISTAN,QATAR,ANGOLA,BAHAMAS,BELIZE,BERMUDA,CAPE VERDE,COSTA RICA,CYPRUS,DJIBOUTI,EL SALVADOR,EQUATORIAL GUINEA,FAEROE ISLANDS,FIJI,FRENCH GUIANA,GAMBIA,GHANA,GIBRALTAR,GREENLAND,GRENADA,GUADELOUPE,GUINEA BISSAU,GUYANA,HAITI,HONDURAS,JAMAICA,JAPAN,JORDAN,KENYA,LIBERIA,LIBYAN ARAB JAMAHIRIYAH,MALTA,MARTINIQUE,MAURITIUS,MONGOLIA,NEPAL,NEW CALEDONIA,PAPUA NEW GUINEA,PARAGUAY,REPUBLIC OF CAMEROON,REUNION,SAINT LUCIA,SAMOA,SIERRA LEONE,SOMALIA,SRI LANKA,ST. PIERRE & MIQUELON,ST. VINCENT & THE GRENADINES,SURINAME,TOGO,TONGA,UGANDA,year
1033,8168,14941,5704,20801,2047,42070,2307,6002,1787,55215,1127,5020,18178,2683,11313,8328,13998,2339,2302,1240,30604,1534,5300,16659,9019,7823,2794,1033,2590,136583,692124,5367,21465,-1473,10447,984,642,2655,2794,616,333,202,404,2047,450,246,20,699,219,135,113,456,413,113,261,670,81,377,83,1403,202,360,1530,24,169,52,213,2025,596,105,95,141,23,96,51,15,5,12,28,78,73,3,73,3,11,33,2,4,174,32,27,2,17,2,71,31,82,74,27991,47,248,13,39,67,15,55,78,7,60,15,17,38,7,1,1,43,13,444,4,1,58,7,2,29,1950
1128,9544,16112,6351,24418,2229,44402,2725,5984,2178,62435,1249,6056,19029,2563,13331,9524,15003,2230,2587,1303,33336,1473,6143,17781,9041,9128,3358,1340,2780,148700,712983,5913,27763,1887,12932,970,686,2868,2883,460,376,192,477,2229,663,254,30,799,250,126,82,797,398,104,298,716,110,321,67,-95,176,425,1766,17,174,55,272,2459,798,32,98,151,25,106,68,18,7,16,21,85,77,7,88,3,11,36,3,4,239,28,27,3,18,1,78,36,95,142,33702,44,380,12,46,70,22,38,80,8,77,17,13,50,8,3,1,26,13,422,6,1,64,7,2,38,1951
1062,9853,16432,6025,22784,2574,43510,2895,6251,2363,61960,1310,7427,20058,3472,13823,10158,14934,2544,2644,1416,34949,1461,7270,19348,10266,9424,3065,1745,2859,144221,694618,6807,34995,1117,13850,1106,763,2626,2974,595,394,244,569,2357,535,293,24,973,309,140,88,999,321,130,349,861,102,351,84,-47,212,419,1715,27,176,75,243,2566,945,-119,162,196,25,53,85,21,7,29,10,106,86,7,106,3,15,43,3,3,237,20,29,3,18,3,92,40,98,154,35599,53,434,15,45,66,25,48,82,8,129,23,28,77,9,2,2,49,13,529,9,3,73,12,2,39,1952
1092,9591,16223,5928,22487,2890,43838,2840,6320,2066,58566,1334,8671,20436,3570,15291,10020,15084,2334,2671,1505,37993,1619,8361,19379,10629,8886,2822,1767,3539,147404,711175,6885,36600,1045,13062,1101,801,2603,2943,665,376,224,625,2938,690,295,30,1139,356,147,94,1103,341,140,449,957,113,272,69,130,250,472,1690,50,186,78,474,2362,1281,-14,169,195,29,100,75,22,8,25,5,118,100,8,114,3,23,46,3,3,278,18,33,3,18,2,123,43,91,168,39794,58,413,16,68,63,25,51,83,10,109,26,33,55,6,3,2,46,13,564,8,2,85,8,2,57,1953
1134,10032,18517,6690,23404,3110,44482,3025,6982,2499,61788,1388,9283,21490,4025,17733,9901,15938,2475,2698,1702,40279,1581,9146,20171,10846,9417,3439,1771,3667,150849,677689,8102,44011,285,13975,1455,774,2482,3185,702,384,263,769,2627,832,312,31,979,399,215,98,1181,357,158,560,1020,137,285,79,338,213,491,1624,74,203,86,1307,2397,1408,383,171,173,29,166,95,23,8,23,6,111,121,9,128,8,21,43,4,4,274,15,28,3,20,2,129,59,103,216,38913,69,464,28,82,84,25,51,133,11,142,26,50,63,10,2,3,34,13,487,9,2,92,9,2,60,1954
1258,10799,19291,7936,25119,3301,46258,3166,7388,2983,65236,1626,9746,23319,5689,20008,10827,16646,2564,3116,1672,42090,1764,10041,22638,10996,10673,3718,1965,3718,157381,742828,9289,52099,4316,16309,1806,743,3198,2906,736,436,327,925,3261,1119,375,35,971,388,254,82,1315,443,449,648,1070,181,383,83,577,249,513,1850,62,250,107,2005,2698,1759,504,250,194,42,114,113,35,8,30,6,95,123,10,126,10,27,47,4,4,324,16,57,3,22,3,141,73,119,269,38733,104,542,16,117,93,31,35,161,12,191,35,52,64,11,3,3,50,18,454,10,2,85,11,2,72,1955
1364,12092,19934,7700,26419,3540,51807,3230,7199,3322,73293,1717,9052,24142,5953,22795,11502,17763,2641,3263,1723,45424,1956,11132,23819,11559,11841,4658,2098,3920,156662,778631,9995,59047,6225,17744,1707,786,2982,2715,822,426,354,867,3440,1746,424,35,961,452,302,81,1309,515,547,715,1098,229,288,87,445,259,579,1595,66,267,103,2447,2830,2062,284,269,173,50,138,137,38,8,37,8,132,184,8,144,10,31,53,4,5,294,14,39,3,25,3,150,72,124,344,43856,123,606,13,90,81,32,60,188,13,318,35,54,65,13,3,3,49,19,387,9,2,93,11,2,72,1956
1512,12996,20340,7966,26339,3928,49900,3201,6797,3342,75750,1861,10494,27084,6117,23779,13452,17580,2813,3101,1822,48772,2125,12538,24471,13710,10604,4831,2234,4360,155676,772001,9822,69964,5950,18993,1837,700,2653,3254,869,430,309,909,3727,1630,483,37,834,573,274,80,1412,564,541,798,1210,411,206,86,573,263,645,3785,88,269,114,3082,2958,2242,600,282,208,80,85,169,48,8,38,5,126,223,12,163,9,26,45,4,6,353,14,44,3,30,3,146,69,157,438,51345,135,623,23,85,85,44,60,208,15,291,40,58,70,16,3,4,106,20,633,11,2,102,13,2,76,1957
1424,12064,21184,7668,23936,4266,49721,3399,7313,2896,72655,2034,10712,28309,6061,23922,14743,18203,2779,3054,2013,48241,2063,13593,26273,15255,11485,4446,2613,4378,151729,748069,10663,143390,6886,14864,2064,949,2445,3736,1016,395,361,799,3816,1820,496,41,892,658,250,87,1512,541,592,824,1086,328,352,102,917,298,648,4912,87,308,164,4268,2753,2459,1007,291,253,90,46,162,49,11,40,4,122,209,13,163,13,32,48,5,7,372,15,62,4,30,3,125,75,160,370,49460,143,570,44,96,90,39,57,310,16,202,40,66,76,17,3,3,57,23,532,11,3,87,13,2,80,1958
1545,13362,22849,7620,24107,5357,50356,3468,7107,3701,71492,2218,11438,29950,6513,25694,15911,18320,2817,3224,1970,51769,2179,13825,25787,14220,11572,4533,3001,4694,149154,770642,10653,196823,6979,17783,1973,844,3361,3470,973,434,353,737,4392,1997,490,41,920,758,259,89,1530,669,608,907,1198,394,358,102,506,338,738,4276,92,338,131,5424,2844,3063,1037,304,271,105,50,169,71,11,37,5,105,227,10,165,13,27,54,6,5,361,13,64,4,39,4,151,69,160,502,52590,179,603,39,118,106,45,61,367,18,161,44,83,76,19,3,4,64,24,561,9,3,100,15,2,113,1959
1680,13312,24053,8405,24816,6080,52603,3679,8121,4119,73962,2565,12373,32883,5837,29822,17212,20045,3148,3573,2229,54477,2243,14576,26707,13343,13423,5324,3242,4587,159340,788300,12792,212906,10197,15563,2273,704,3049,4378,929,471,481,633,4475,2254,514,47,993,741,274,91,1764,704,879,1013,1178,552,157,109,730,331,806,3736,96,367,145,6495,3141,3423,2128,284,272,113,48,150,112,12,43,6,134,242,11,169,6,16,53,6,5,399,13,61,6,43,5,180,78,168,401,63480,203,662,45,189,93,46,49,353,22,235,49,83,74,20,4,4,195,23,616,10,3,118,18,3,115,1960
1654,13957,24704,8689,25305,7083,52954,3947,8654,4074,76687,2679,13356,35561,7097,33965,17809,20695,3209,3641,2357,56568,2479,15210,27874,14638,13322,5560,3421,4735,160605,785521,13418,150550,9965,14161,2379,1255,3372,4660,1122,482,449,643,4968,2378,718,53,1030,707,284,83,1928,732,836,1131,1124,622,483,97,974,298,920,3322,93,384,153,7215,3161,3944,2722,281,301,134,44,124,149,10,48,6,134,236,12,159,6,31,46,6,6,367,14,80,5,48,8,201,81,201,581,77207,267,655,44,326,80,47,51,380,22,242,55,99,77,23,5,5,79,24,637,13,3,117,25,3,111,1961
1546,14643,25883,9246,26757,8382,56500,4561,10070,4584,81458,2772,13788,39124,6271,39939,17401,22732,3057,3839,2719,59126,2537,17420,28843,16377,13997,6587,3868,5899,161811,814619,14643,120087,10216,14755,2822,1974,3578,5071,1140,490,427,593,5302,2463,542,71,840,786,300,101,2166,779,874,1373,1094,672,434,108,1706,327,1005,3864,108,377,180,8378,3150,4712,3897,339,325,188,52,322,198,19,43,5,150,247,13,177,6,32,63,6,7,391,15,72,7,51,11,185,83,191,578,79962,286,716,69,286,90,47,69,538,24,154,54,107,79,25,5,5,89,29,699,9,3,135,24,3,117,1962
1480,13658,27551,10088,28847,9384,57570,4733,11101,5279,91088,3343,15348,42019,6213,44936,18097,24878,3335,4086,2791,63054,2734,18961,29950,16041,15100,7937,4126,6182,164664,850622,15167,119088,11274,15327,3132,357,3671,5878,1459,531,490,626,5797,2562,453,52,1080,719,331,97,2239,826,985,1519,1178,568,326,126,1894,356,1159,3556,115,415,230,8962,3122,5755,4643,341,323,193,1674,314,193,17,41,4,164,269,18,307,7,34,66,7,8,470,15,90,4,56,13,168,68,194,654,88689,333,779,97,399,112,57,57,437,27,169,70,112,82,31,6,6,101,28,691,10,4,145,29,3,118,1963
1541,15197,29719,10620,28269,11689,64849,4779,11778,6232,94165,3606,17017,41082,6107,47984,20256,26416,3574,4415,3345,66298,3006,19666,32631,17565,16480,7681,4617,7182,165900,887918,15472,119150,12970,15436,3501,1035,3881,6960,1984,752,585,539,5920,2475,584,49,1206,780,404,93,2495,891,1191,2040,1243,550,436,132,1922,357,1152,3898,111,483,259,9724,3356,6059,6909,477,339,229,1711,334,296,23,55,8,184,273,23,336,7,33,116,8,8,450,15,86,6,59,16,177,82,197,1109,97987,339,771,132,181,136,64,84,558,41,300,73,118,92,34,6,7,83,37,620,13,5,165,36,3,134,1964
1799,16053,32988,10414,28754,12631,68763,4845,12091,6907,95951,4643,16715,45261,6733,51750,20520,27406,3736,4475,3263,67418,3163,21468,34977,19394,17079,8282,4873,7469,169790,924713,15380,129799,14662,16577,3813,1417,3745,7538,3208,672,621,674,6241,5267,547,56,1162,744,412,91,3530,905,1003,2032,1506,593,335,152,1151,381,1311,3984,176,539,213,12072,3328,6819,9659,422,417,275,1716,324,359,23,49,7,231,314,33,284,8,37,94,10,8,465,13,94,6,56,18,294,83,205,816,105514,388,673,152,277,129,67,83,534,49,336,83,150,85,41,7,8,77,36,725,11,4,217,36,3,171,1965
2299,17218,32815,10706,28690,13299,70717,5125,13670,8050,94692,5086,16835,46841,6380,58426,22070,28267,3822,5335,3615,68906,3232,22957,35003,21197,19796,8598,5315,8603,168684,971333,17536,142566,17497,15552,4397,1106,4121,7244,3520,787,660,656,6409,7555,580,73,1491,766,461,134,3708,990,1341,2585,1474,696,177,158,1749,408,1409,4141,225,475,262,12994,3169,8185,9586,456,452,298,1712,424,298,22,55,6,271,339,38,356,7,38,88,12,9,393,15,106,8,69,18,322,83,220,960,114465,432,732,167,717,113,74,75,533,52,412,93,140,94,49,8,7,82,38,726,12,5,299,49,3,200,1966
2302,17874,35251,10899,29308,15044,76874,5252,13383,7804,101448,5327,16043,46970,6698,63929,24571,29120,3720,5271,3724,70707,3384,25124,36511,23594,18817,8880,6000,9142,161581,1007829,18051,118144,18528,17948,4972,1265,4476,5366,3501,842,707,625,6740,5016,511,92,1477,987,516,120,3693,974,1257,3318,1332,731,274,230,6956,394,1652,4295,293,541,295,14302,3098,9586,6938,428,463,350,1824,271,465,33,58,5,239,372,24,316,7,46,97,19,9,408,17,114,10,79,13,361,71,239,1055,133592,386,737,167,5047,142,81,136,587,58,402,119,133,125,58,9,7,69,62,804,14,5,364,54,4,221,1967
2471,18839,36712,11549,32331,16233,82776,5788,14542,9085,104890,6087,16677,51087,7523,68038,25631,30966,3678,5765,3955,75286,3548,27322,37656,26495,21185,9825,6593,9903,165522,1044820,21113,127878,22472,17899,6068,1102,4860,6246,1809,981,850,919,7255,5377,758,120,1535,799,594,117,3766,1009,1626,4663,1332,838,301,249,7937,435,1692,4373,471,584,336,16179,3346,10156,6120,641,551,334,1931,456,445,28,61,8,283,443,33,344,8,50,108,23,10,481,18,148,11,76,17,363,72,334,1059,153413,411,769,241,8219,174,84,174,677,69,502,137,161,138,59,10,8,105,42,884,11,6,396,53,4,268,1968
3075,21088,38794,12188,33711,18101,83829,6151,16199,10345,112697,6947,17022,52011,9106,73632,27894,31609,3892,6060,4173,80080,3985,30447,39073,26420,23580,10389,7180,10583,171491,1097559,22993,157414,22666,18816,6234,1065,5049,5371,3303,1052,980,996,7649,6170,884,131,1589,877,695,133,4041,1187,1975,3971,1526,885,347,232,9627,345,2116,4707,455,622,351,17492,3598,11596,7317,724,560,257,1956,760,476,37,54,10,313,456,23,325,12,58,118,23,13,461,18,111,13,85,16,373,86,321,1165,178336,480,854,347,9695,178,90,156,732,109,425,152,142,156,61,17,8,302,44,1178,9,8,415,66,3,321,1969
4111,22562,40256,13824,34257,16700,93124,6726,16935,11016,119720,6590,19090,53216,9769,80922,31108,38706,3871,7639,4850,83022,4161,32755,40841,31887,25192,10989,7847,11628,178092,1180503,25569,210422,25054,20333,6758,2454,5294,5914,5874,1021,1168,740,7746,6520,814,117,1989,1259,678,2239,4521,1077,1816,4193,1566,1021,707,265,12351,379,2291,5092,451,627,383,20058,3749,14667,6829,848,601,456,2064,977,702,33,62,10,341,465,38,390,10,70,142,28,13,716,19,104,12,83,19,431,105,379,1362,209660,425,841,396,8817,181,99,136,777,62,653,189,203,174,87,18,8,238,59,981,10,8,439,75,7,394,1970
5091,24254,41662,14223,33141,17535,96157,7389,15561,11067,126107,7585,18893,56141,10632,84971,34453,38417,4107,7417,5076,85423,4474,34314,45969,35092,23068,11438,8596,13017,180219,1188102,27989,239060,27740,17061,7523,2210,6135,6285,8803,1149,1152,808,8270,7871,986,132,2237,1392,835,2050,4431,1456,2423,5249,1584,1187,829,280,16310,402,2498,5347,505,666,411,29332,3600,15985,7401,961,710,517,2496,930,1836,39,63,10,417,514,44,412,18,71,150,28,15,626,22,128,13,93,20,409,110,363,1569,217492,452,1005,416,5903,180,146,108,828,54,660,225,173,221,90,19,10,219,51,872,13,8,468,86,5,393,1971
7731,24586,42947,15324,35679,18045,103937,7688,16265,12043,131096,8610,18934,59408,11819,89711,36122,43031,4417,8025,4956,89979,5004,36112,46830,39549,23120,11719,9797,14687,176844,1244874,31187,254043,28938,17065,7211,2248,6014,6957,11297,1292,1253,824,8585,8059,900,137,2195,1336,974,2580,4618,1562,2118,5955,1657,1539,1004,351,19183,405,2532,5672,384,739,438,24434,3680,16454,7536,1275,764,418,2941,1229,1770,43,69,14,481,656,52,458,24,64,158,28,18,661,20,151,13,103,18,426,107,419,1715,232717,523,1056,411,4154,229,214,188,895,73,465,346,195,235,95,21,10,185,64,966,19,10,476,109,6,377,1972
10448,25652,46630,16407,37871,18769,104069,7541,16162,13468,140878,10160,19926,61179,13399,96624,39349,45172,4964,8324,5388,91663,5455,39531,47323,42369,23825,12616,10991,16222,179993,1300844,36123,264124,35341,18135,8602,2563,6234,6489,13520,1317,1435,871,9190,8357,972,131,2629,1121,943,2722,5266,1956,2153,6669,1575,1443,1506,293,25944,478,2535,6108,478,801,499,26569,3864,19933,6611,1627,884,447,3400,1331,2147,40,116,17,558,682,49,537,8,69,172,32,17,675,23,152,15,111,30,492,115,412,2263,249727,601,1069,404,3978,220,259,185,949,115,709,367,237,245,105,22,10,147,72,1006,11,11,575,110,7,322,1973
